file,section,usage,alt,recommended_size,notes_or_stock_link
hero_desktop_1920x1080.png,hero,main hero background image,Beautiful woman with perfectly groomed eyebrows applying clear brow gel,1920x1080,Clean beauty lifestyle shot with natural lighting. Stock ref: https://unsplash.com/s/photos/eyebrow-beauty-routine
hero_mobile_1080x1350.png,hero,mobile hero background image,Close-up of woman's eye area showing natural brow styling process,1080x1350,Vertical crop focusing on eye and brow area. Stock ref: https://unsplash.com/s/photos/eyebrow-close-up
product_duo_1500x1500.png,featured-product,main product image for The Duo bundle,IS Beauty Lux Brow & Lash Shampoo and Eyebrow Gel bundle on clean background,1500x1500,Product photography with both bottles/tubes arranged attractively. Use existing Product Creos assets
product_shampoo_1500x1500.png,product-grid,individual shampoo product image,IS Beauty Lux Brow & Lash Shampoo bottle on white background,1500x1500,Clean product shot matching brand aesthetic. Use existing Product Creos assets
product_gel_1500x1500.png,product-grid,individual gel product image,IS Beauty Lux Eyebrow Gel tube with applicator wand on white background,1500x1500,Product shot showing wand/applicator. Use existing Product Creos assets
value_prop_1_1500x900.png,media-with-content,gentle eye area illustration,Gentle skincare concept with delicate eye area focus,1500x900,Soft illustration or photo emphasizing gentleness. Stock ref: https://unsplash.com/s/photos/gentle-skincare-eyes
value_prop_2_1500x900.png,media-with-content,all-day hold demonstration,Before and after brow styling showing natural flexible hold,1500x900,Split image or progression showing brow transformation. Use existing UGC from Product Creos
value_prop_3_1500x900.png,media-with-content,3-step routine visualization,Step-by-step brow routine laid out visually,1500x900,Flat lay or sequence showing the 3 steps. Stock ref: https://unsplash.com/s/photos/beauty-routine-steps
why_duo_1500x900.png,media-with-content,synergy explanation visual,Clean vs uncleaned brow comparison showing gel adhesion,1500x900,Educational visual showing why cleansing improves gel performance. Custom graphic needed
how_to_step1_800x800.png,section,step 1 instruction image,Hands applying brow shampoo with gentle massage motion,800x800,Instructional photo showing proper application technique. Use existing Product Creos video stills
how_to_step2_800x800.png,section,step 2 instruction image,Rinsing brows with clean water and patting dry,800x800,Clean instructional shot of rinsing process. Stock ref: https://unsplash.com/s/photos/face-washing-water
how_to_step3_800x800.png,section,step 3 instruction image,Applying clear gel with wand in upward brushing motion,800x800,Clear demonstration of gel application technique. Use existing Product Creos assets
ingredient_1_400x400.png,section,hyaluronic acid icon/visual,Hyaluronic acid molecule or water droplet representing hydration,400x400,Clean icon or scientific illustration. Stock ref: https://unsplash.com/s/photos/water-droplet-beauty
ingredient_2_400x400.png,section,biotin icon/visual,Biotin vitamin B7 representation or hair strength visual,400x400,Scientific or abstract representation of biotin benefits. Custom graphic or stock icon
ingredient_3_400x400.png,section,peptides icon/visual,Peptides chain illustration or protein structure,400x400,Scientific illustration of peptides for skincare. Stock ref: https://unsplash.com/s/photos/scientific-beauty
ingredient_4_400x400.png,section,vitamin E icon/visual,Vitamin E antioxidant representation with protective elements,400x400,Antioxidant concept visual or vitamin E molecular structure. Stock icon or custom graphic
founder_1200x1500.png,media-with-content,founder portrait,IS Beauty Lux founder Sarah in professional but approachable setting,1200x1500,Professional headshot or lifestyle portrait. Use existing Owner photo assets - IMAGE 2025-09-12 16:06:56.jpg or similar
testimonial_bg_1200x800.png,section,testimonials background,Subtle textured background for testimonial quotes,1200x800,Minimal background texture in brand colors. Stock ref: https://unsplash.com/s/photos/beige-texture-minimal
faq_icon_200x200.png,section,FAQ section decorative element,Question mark or chat bubble in brand colors,200x200,Simple icon for FAQ section header. Custom graphic in brand gold color
trust_badges_1200x300.png,section,trust strip background,Horizontal banner background for trust badges,1200x300,Clean background for displaying guarantees and certifications. Brand color gradient
product_lifestyle_1500x1000.png,section,lifestyle usage context,Woman using IS Beauty Lux products in modern bathroom setting,1500x1000,Lifestyle shot showing products in use context. Stock ref: https://unsplash.com/s/photos/bathroom-beauty-routine
ugc_collage_1200x1200.png,section,user-generated content showcase,Grid of customer brow results and product usage,1200x1200,Collage of UGC photos from social media or customer submissions. Use existing Product Creos UGC assets
b2b_hero_1600x900.png,b2b-page,B2B page hero image,Professional salon setting with IS Beauty Lux products,1600x900,Upscale salon environment showing professional use. Stock ref: https://unsplash.com/s/photos/beauty-salon-professional
b2b_pricing_800x600.png,b2b-page,pricing table background,Clean background for wholesale pricing information,800x600,Professional background for pricing table section. Minimal design in brand colors
b2b_contact_1000x800.png,b2b-page,contact section image,Professional handshake or business meeting concept,1000x800,B2B partnership visual concept. Stock ref: https://unsplash.com/s/photos/business-partnership-beauty
